original_tag,division,question_id,has_reasoning,has_final,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,reasoning_budget_hit,finish_reason,near_generation_cap,near_context_limit,loop_candidate,confirmed_loop,clean_final,gen_t_s,pp_t_s,wall_ms
A,general,G1,yes,yes,85,3782,3867,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,43.75,17.11,91451.0
A,general,G2,yes,yes,86,1038,1124,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,43.06,53.05,25825.8
A,general,G3,yes,yes,109,4210,4319,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,yes,no,yes,45.21,58.52,95066.0
A,general,G4,yes,yes,135,8057,8192,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,yes,yes,yes,yes,no,41.73,86.82,194757.7
A,general,G5,yes,yes,117,3195,3312,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.21,65.43,83449.1
A,general,G6,yes,yes,77,4287,4364,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.03,56.66,114183.4
A,general,G7,yes,yes,138,4737,4875,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.58,87.6,124533.9
A,general,G8,yes,yes,77,778,855,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.72,60.35,20498.6
A,general,G9,yes,yes,102,4648,4750,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.09,77.4,114515.4
A,general,G10,yes,yes,110,703,813,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.17,84.58,18499.2
A,general,G11,yes,yes,90,1355,1445,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.55,70.91,33995.7
A,general,G12,yes,yes,80,4120,4200,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.29,76.27,108754.3
A,general,G13,yes,yes,77,637,714,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,36.35,50.25,19217.9
